postureName,convexity,eccentricity,compactness,circularity,squareness,convexityDefects,nu00,nu11,nu02,nu30,nu21,nu12,nu03
wball,0.962122,0.793286,0.905595,0.783826,0.820833,0,0.096965,-0.002312,0.06565,2.5e-05,0.000466,-8e-06,-0.000283
wball,0.934994,0.97741,0.895129,0.894179,0.794737,0,0.079318,-0.000678,0.080254,-6.5e-05,0.000709,7.9e-05,-0.000727
ylego,0.952057,0.607279,0.687806,0.489884,0.758242,0,0.134877,0.019872,0.056669,3.9e-05,0.005494,0.002245,0.000594
ylego,0.918612,0.868029,0.767157,0.659657,0.814286,0,0.075288,-0.003471,0.091732,-0.00141,-0.005184,0.002488,0.004165
ylego,0.949331,0.881751,0.720034,0.567117,0.969618,0,0.047341,-0.001021,0.145185,1.3e-05,-0.000494,-0.000428,0.000871
ylego,0.983146,0.243533,0.765392,0.616568,0.947368,0,0.058175,0.000253,0.119484,1.7e-05,0.001716,0.000567,-0.002425
ylego,0.909891,0.767056,0.785,0.646579,0.822515,0,0.072502,-0.019068,0.097088,0.002185,-0.00081,-0.003612,0.002327
ylego,0.884945,0.94167,0.765228,0.711379,0.80093,0,0.087987,0.004383,0.075876,0.001324,-0.001895,-0.002065,0.001748
ylego,0.893589,0.825993,0.762858,0.625653,0.872035,0,0.078904,-0.013821,0.087659,0.001796,0.001231,-0.0015,-0.000281
ylego,0.94154,0.851098,0.817775,0.669055,0.84619,0,0.073284,0.000551,0.091454,0.002083,-0.001013,-0.002192,0.002684
ylego,0.899449,0.900584,0.736057,0.665824,0.750165,0,0.090682,0.001291,0.07708,-0.006194,0.002714,0.003091,-0.00062
ylego,0.92087,0.807066,0.782759,0.660487,0.838542,0,0.068336,-0.006789,0.099328,0.001379,-0.002577,-0.00316,0.003677
ylego,0.955045,0.812428,0.739434,0.604842,0.878786,0,0.056449,0.002491,0.12337,-0.000172,-0.001272,-0.000452,0.001865
ylego,0.906273,0.92552,0.754127,0.637482,0.830682,0,0.088613,0.005095,0.078057,0.002397,0.001929,-0.003698,-0.001657
ylego,0.903822,0.873715,0.676161,0.601643,0.768839,0,0.114923,-0.000356,0.062832,-0.001729,0.004819,0.001867,-0.000349
