"postureName";"convexity";"eccentricity";"compactness";"circularity";"squareness";"convexityDefects";"nu00";"nu11";"nu02";"nu30";"nu21";"nu12";"nu03";"arm0";"arm1";"arm2";"arm3";"arm4";"arm5";"arm6";"arm7";"arm8";"arm9";"arm10";"arm11";"arm12";"arm13";"arm14";"arm15";"head0";"head1";"head2";"head3";"head4";"head5";
"fortyfive";0.760774;0.706669;0.547586;0.551967;0.687954;1;0.099023;-0.040616;0.098578;0.010068;-0.000829;-0.003043;0.007338;-49.9725;60.011;0.0380398;39.956;20;0.000204403;-8.17611e-05;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.748022;0.721991;0.494639;0.52994;0.630054;1;0.097446;-0.04567;0.115879;0.017387;-0.007716;-0.003722;0.015241;-49.9725;60.011;0.0380398;39.956;-20;0.000204403;-8.17611e-05;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.759559;0.743374;0.46481;0.449098;0.615069;1;0.107144;-0.053819;0.118749;0.018589;-0.002821;-0.006753;0.015605;-49.9725;60.011;0.0380398;40;0;0;-10;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.765992;0.735118;0.534545;0.548188;0.636602;1;0.108693;-0.043577;0.101101;0.017325;-0.001159;-0.008303;0.01212;-49.9725;60.011;0.0380398;40;0;0;10;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.77812;0.670491;0.537875;0.535523;0.649848;1;0.146457;-0.020121;0.063515;0.009779;0.013591;-0.005298;0.000229;-49.9725;60.011;0.0380398;40;0;30;10;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.784098;0.655877;0.543544;0.529007;0.697995;1;0.149002;-0.00194;0.058445;0.002641;0.014002;0.000697;-0.000534;-49.9725;60.011;0.0380398;40;0;45;10;0;11.2745;55.0038;33.7985;75.8232;70.9165;80.9669;37.7424;122.73;-30;0;30;0;0;0;
"fortyfive";0.737776;0.849734;0.49798;0.547671;0.636573;1;0.08293;-0.0351;0.12777;0.013101;-0.00711;-0.000879;0.014967;-60;60.011;0.0380398;39.956;-0.000424526;-10;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
"fortyfive";0.734145;0.806738;0.50036;0.543137;0.644463;1;0.074325;-0.027486;0.131053;0.009692;-0.006863;0.001826;0.012623;-60;60.011;0.0380398;39.956;-0.000424526;-15;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
"fortyfive";0.738456;0.839418;0.512397;0.543869;0.654425;1;0.068743;-0.020019;0.132761;0.00712;-0.006019;0.003784;0.010243;-60;60.011;0.0380398;39.956;-0.000424526;-20;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
"fortyfive";0.741914;0.79283;0.524196;0.53202;0.668469;1;0.063024;-0.003001;0.133702;0.003688;-0.002888;0.006043;0.003939;-60;60.011;0.0380398;39.956;-0.000424526;-30;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
"fortyfive";0.732982;0.804937;0.513119;0.549965;0.657373;1;0.065606;-0.003499;0.133771;0.003568;-0.004913;0.007821;0.006994;-60;60.011;0.0380398;39.956;-10;-30;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
"fortyfive";0.729205;0.796246;0.506403;0.571056;0.637548;1;0.068069;-0.005651;0.134976;0.002517;-0.006075;0.010783;0.008637;-60;60.011;0.0380398;39.956;-20;-30;-8.17611e-05;0;9.82;55.0038;33.7985;76.6816;68.545;82.6062;41.9265;125.457;-30;0;30;0;0;0;
